month,day,year,region,site,burn_year,transect,plot,book,species,height_cm,basal_diameter_cm,age,safe_site,radius_m,area_sampled_m2,notes
june,29,2018,Cherskiy,Gonzo,2001,2,75,Siberia_2018_1,Larix cajanderi,50,0.8,3,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,75,Siberia_2018_1,Larix cajanderi,180,3,9,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,75,Siberia_2018_1,Larix cajanderi,170,2.2,9,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,75,Siberia_2018_1,Larix cajanderi,65,0.62,3,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,100,Siberia_2018_1,Larix cajanderi,190,1.35,9,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,150,Siberia_2018_1,Larix cajanderi,70,1.2,7,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,15,0.2,2,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,24,0.3,3,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,21,0.7,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,-75,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,30,2018,Cherskiy,Gonzo,2001,3,-50,Siberia_2018_1,Larix cajanderi,NA,NA,NA,NA,2,12.5663706143592,zero recruits
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,75,0.95,6,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,18,0.3,3,no,2,12.5663706143592,NA
